sample,index,http://igem.org/engineering/test_execution/ActivityEdgeFlow230/LiteralIdentified1/Dataset1/SampleData1,excitationWavelength,emissionWavelength,emissionBandpassWidth,fluoroscein (uM),sulforhodamine (uM),cascade blue (uM),NanoCym beads (1/mL),double distilled water (uL),PBS (uL),http://igem.org/engineering/test_execution/ActivityEdgeFlow233/LiteralIdentified1/Dataset1/SampleData1,http://igem.org/engineering/test_execution/ActivityEdgeFlow236/LiteralIdentified1/Dataset1/SampleData1,http://igem.org/engineering/test_execution/ActivityEdgeFlow239/LiteralIdentified1/Dataset1/SampleData1,wavelength
A1,A1,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,5.0,0.0,0.0,0.0,0,200,,,,
A1,A2,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,2.5,0.0,0.0,0.0,0,200,,,,
A1,A3,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,1.25,0.0,0.0,0.0,0,200,,,,
A1,A4,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.625,0.0,0.0,0.0,0,200,,,,
A1,A5,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.3125,0.0,0.0,0.0,0,200,,,,
A1,A6,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.15625,0.0,0.0,0.0,0,200,,,,
A1,A7,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.078125,0.0,0.0,0.0,0,200,,,,
A1,A8,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.0390625,0.0,0.0,0.0,0,200,,,,
A1,A9,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.01953125,0.0,0.0,0.0,0,200,,,,
A1,A10,0.7908253169647832,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin1/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin2/LiteralIdentified1/Measure1,http://igem.org/engineering/interlab/CallBehaviorAction61/ValuePin3/LiteralIdentified1/Measure1,0.009765625,0.0,0.0,0.0,0,200,,,,
