index,sample,fluoroscein (uM),sulforhodamine (uM),cascade blue (uM),NanoCym beads (1/mL),double distilled water (uL),PBS (uL),http://igem.org/engineering/test_execution/ActivityEdgeFlow239/LiteralIdentified1/Dataset1/SampleData1,wavelength
A1,G1,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H1,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G2,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H2,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G3,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H3,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G4,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H4,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G5,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H5,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G6,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H6,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G7,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H7,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G8,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H8,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G9,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H9,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G10,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H10,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G11,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H11,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,G12,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A1,H12,5.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G1,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H1,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G2,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H2,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G3,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H3,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G4,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H4,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G5,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H5,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G6,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,H6,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A2,G7,2.5,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
